id,name,description,trigger_command,created_at,search_vector
de9c0b8f-2ebd-4bcb-9a64-93bcacf9125f,Recursive Leadership Audit,Deep-dive analysis across 300+ transcripts using the Blind Architect RLM pattern.,/rlm_audit,2026-01-20 12:23:59.437702+00,'300':6A 'across':5A 'analysis':4A 'architect':11A 'audit':16A 'blind':10A 'deep':2A 'deep-dive':1A 'dive':3A 'leadership':15A 'pattern':13A 'recursive':14A 'rlm':12A 'the':9A 'transcripts':7A 'using':8A
fdae2221-b674-4393-afe6-8d3b2b1f9c49,Candidate Processing Pipeline,End-to-end recruitment flow: Ingestion -> AI Eval -> Human Review -> Completion.,/process_candidate,2026-01-19 11:35:05.077703+00,"'ai':8A 'candidate':13A 'completion':12A 'end':2A,4A 'end-to-end':1A 'eval':9A 'flow':6A 'human':10A 'ingestion':7A 'pipeline':15A 'processing':14A 'recruitment':5A 'review':11A 'to':3A"
